Animal_ID,Time_AAC_days,Animal_type,Purebreed,Blacklisted_breed,Color,Intake_date,Intake_weekday,Intake_month,Intake_time_of_day,Found_in_Austin,Intake_type,Intake_condition,Sex,Reproductive Condition,Intake_age_years,Date_birth,Outcome _type_DROP,Adopted_DROP,2_Week_Cutoff,1_Month_Cutoff,3_Month_Cutoff
A740593,4,Dog,No,No,Black,12/19/2016,Monday,December,Afternoon,Yes,Stray,Normal,Male,Intact,0.17,10/19/2016,Adoption,Yes,1,1,1
A702953,8,Dog,No,No,Black,5/19/2015,Tuesday,May,Afternoon,Yes,Stray,Normal,Female,Intact,0.17,3/19/2015,Adoption,Yes,1,1,1
A568715,7,Dog,No,No,Brown,7/26/2016,Tuesday,July,Morning,Yes,Stray,Injured,Female,Fixed,6.78,10/16/2009,Transfer,No,1,1,1
A725064,6,Dog,No,No,Multi,4/25/2016,Monday,April,Afternoon,Yes,Stray,Normal,Female,Intact,1,4/25/2015,Adoption,Yes,1,1,1
A710112,8,Dog,No,No,Multi,8/17/2015,Monday,August,Afternoon,Yes,Stray,Normal,Male,Intact,3,8/17/2012,Transfer,No,1,1,1
A716830,4,Dog,No,Yes,Multi,11/25/2015,Wednesday,November,Afternoon,Yes,Stray,Normal,Male,Intact,0.82,1/28/2015,Transfer,No,1,1,1
A700622,5,Dog,No,Yes,Multi,4/16/2015,Thursday,April,Afternoon,Yes,Stray,Normal,Male,Intact,0.41,11/16/2014,Adoption,Yes,1,1,1
A688270,2,Dog,No,No,Multi,8/8/2016,Monday,August,Morning,Yes,Owner Surrender,Normal,Male,Fixed,2.06,7/17/2014,Adoption,Yes,1,1,1
A757647,30,Dog,No,Yes,Multi,9/4/2017,Monday,September,Afternoon,No,Public Assist,Normal,Female,Fixed,10.01,9/4/2007,Transfer,No,0,1,1
A698848,5,Dog,No,No,Multi,3/18/2015,Wednesday,March,Afternoon,No,Stray,Normal,Male,Intact,0.16,1/18/2015,Adoption,Yes,1,1,1
A717112,,Dog,No,Yes,Multi,10/18/2017,Wednesday,October,Afternoon,No,Public Assist,Normal,Male,Fixed,2.88,12/2/2014,Transfer,No,1,1,1
A708214,4,Dog,No,No,Multi,7/24/2015,Friday,July,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,1.33,3/24/2014,Adoption,Yes,1,1,1
A746542,86,Dog,No,No,Multi,4/4/2017,Tuesday,April,Afternoon,Yes,Stray,Normal,Male,Intact,0.5,10/4/2016,Adoption,Yes,0,0,1
A759559,6,Dog,No,No,Multi,10/3/2017,Tuesday,October,Afternoon,No,Stray,Normal,Female,Intact,3,10/3/2014,Adoption,Yes,1,1,1
A674112,7,Dog,Yes,No,Multi,3/7/2014,Friday,March,Afternoon,Yes,Stray,Normal,Female,Intact,0.16,1/7/2014,Adoption,Yes,1,1,1
A757449,4,Dog,No,No,Multi,9/2/2017,Saturday,September,Afternoon,Yes,Stray,Normal,Male,Intact,2,9/2/2015,Adoption,Yes,1,1,1
A710186,10,Dog,No,No,Multi,8/19/2015,Wednesday,August,Morning,No,Stray,Normal,Female,Intact,3,8/19/2012,Adoption,Yes,1,1,1
A718203,,Dog,No,No,Black,4/12/2016,Tuesday,April,Afternoon,No,Owner Surrender,Normal,Female,Fixed,2.3,12/23/2013,Adoption,Yes,1,1,1
A732617,2,Dog,No,No,Beige,8/10/2016,Wednesday,August,Morning,Yes,Stray,Sick,Female,Intact,0.25,5/10/2016,Transfer,No,1,1,1
A690430,5,Dog,No,No,Multi,10/20/2014,Monday,October,Afternoon,Yes,Stray,Normal,Female,Intact,2,10/20/2012,Adoption,Yes,1,1,1
A751598,4,Dog,No,No,Brown,6/9/2017,Friday,June,Morning,No,Stray,Normal,Male,Intact,0.2,3/29/2017,Adoption,Yes,1,1,1
A736235,4,Dog,No,No,Multi,10/7/2016,Friday,October,Morning,No,Stray,Normal,Female,Intact,0.33,6/7/2016,Adoption,Yes,1,1,1
A759913,1,Dog,No,No,Multi,10/9/2017,Monday,October,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,2.5,4/9/2015,Transfer,No,1,1,1
A706215,5,Dog,No,No,Multi,6/26/2015,Friday,June,Morning,Yes,Stray,Normal,Male,Intact,2,6/26/2013,Adoption,Yes,1,1,1
A726585,6,Dog,No,No,Multi,5/12/2016,Thursday,May,Afternoon,Yes,Public Assist,Normal,Male,Intact,1,5/12/2015,Adoption,Yes,1,1,1
A699809,1,Dog,No,Yes,Brown,4/2/2015,Thursday,April,Afternoon,Yes,Stray,Injured,Male,Intact,0.33,12/2/2014,Died,No,1,1,1
A693380,4,Dog,No,No,Multi,12/7/2014,Sunday,December,Afternoon,Yes,Stray,Normal,Female,Intact,0.5,6/6/2014,Adoption,Yes,1,1,1
A683489,7,Dog,No,Yes,Multi,7/10/2014,Thursday,July,Afternoon,Yes,Stray,Injured,Female,Intact,0.5,1/10/2014,Adoption,Yes,1,1,1
A717500,13,Dog,No,No,White,2/19/2018,Monday,February,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,4.19,12/12/2013,Adoption,Yes,1,1,1
A753993,,Dog,No,No,Brown,8/31/2017,Thursday,August,Morning,Yes,Owner Surrender,Normal,Female,Fixed,1.13,7/14/2016,Adoption,Yes,1,1,1
A666654,177,Dog,No,No,Multi,11/5/2013,Tuesday,November,Morning,Yes,Owner Surrender,Normal,Female,Intact,3,11/5/2010,Adoption,Yes,0,0,0
A694744,6,Dog,No,Yes,Multi,1/3/2015,Saturday,January,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,9.01,1/3/2006,Transfer,No,1,1,1
A726599,4,Dog,No,No,Black,5/12/2016,Thursday,May,Afternoon,Yes,Stray,Normal,Male,Intact,0.25,2/12/2016,Transfer,No,1,1,1
A665251,5,Dog,No,Yes,Multi,10/15/2013,Tuesday,October,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,0.5,4/15/2013,Transfer,No,1,1,1
A712205,7,Dog,No,No,Yellow,9/19/2015,Saturday,September,Morning,No,Stray,Normal,Male,Fixed,2,9/19/2013,Adoption,Yes,1,1,1
A707919,5,Dog,No,No,Multi,7/20/2015,Monday,July,Morning,Yes,Stray,Normal,Male,Intact,0.75,10/20/2014,Adoption,Yes,1,1,1
A732158,8,Dog,No,No,Brown,8/3/2016,Wednesday,August,Afternoon,Yes,Stray,Normal,Female,Intact,1,8/3/2015,Adoption,Yes,1,1,1
A759184,4,Dog,No,No,Multi,9/28/2017,Thursday,September,Afternoon,Yes,Stray,Normal,Male,Intact,0.25,6/28/2017,Adoption,Yes,1,1,1
A653571,15,Dog,No,No,Multi,10/4/2013,Friday,October,Morning,No,Owner Surrender,Normal,Male,Fixed,3.41,5/8/2010,Adoption,Yes,0,1,1
A670127,4,Dog,No,No,Multi,1/2/2014,Thursday,January,Afternoon,Yes,Stray,Normal,Female,Intact,1,1/2/2013,Adoption,Yes,1,1,1
A734527,1,Dog,No,No,Multi,9/8/2016,Thursday,September,Morning,Yes,Stray,Normal,Female,Intact,0.13,7/21/2016,Transfer,No,1,1,1
A680946,4,Dog,No,No,Multi,8/21/2014,Thursday,August,Morning,Yes,Owner Surrender,Normal,Male,Fixed,2.2,6/10/2012,Adoption,Yes,1,1,1
A724095,,Dog,No,Yes,Multi,4/21/2016,Thursday,April,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,3.03,4/11/2013,Adoption,Yes,1,1,1
A703839,17,Dog,No,No,Multi,5/29/2015,Friday,May,Afternoon,Yes,Stray,Normal,Male,Intact,0.83,7/29/2014,Adoption,Yes,0,1,1
A751181,0,Dog,No,Yes,Multi,6/5/2017,Monday,June,Morning,Yes,Stray,Sick,Female,Intact,1,6/5/2016,Transfer,No,1,1,1
A708534,3,Dog,No,Yes,Multi,7/29/2015,Wednesday,July,Morning,No,Stray,Nursing,Male,Intact,0.06,7/7/2015,Transfer,No,1,1,1
A641632,5,Dog,No,Yes,Multi,3/3/2016,Thursday,March,Afternoon,Yes,Stray,Normal,Female,Intact,7.32,11/10/2008,Transfer,No,1,1,1
A677851,4,Dog,No,No,Beige,4/30/2014,Wednesday,April,Morning,No,Stray,Normal,Male,Fixed,1,4/30/2013,Transfer,No,1,1,1
A716580,35,Dog,No,No,Black,11/21/2015,Saturday,November,Morning,No,Stray,Normal,Female,Intact,1,11/21/2014,Adoption,Yes,0,0,1
A736901,0,Dog,No,No,Multi,10/19/2016,Wednesday,October,Morning,Yes,Stray,Normal,Male,Unknown,0.01,10/16/2016,Transfer,No,1,1,1
A706395,9,Dog,No,No,Multi,6/28/2015,Sunday,June,Afternoon,Yes,Stray,Normal,Male,Intact,1,6/28/2014,Adoption,Yes,1,1,1
A671588,1,Dog,Yes,No,Multi,1/27/2014,Monday,January,Afternoon,No,Owner Surrender,Normal,Female,Intact,0.33,9/27/2013,Transfer,No,1,1,1
A710029,6,Dog,No,Yes,Multi,8/16/2015,Sunday,August,Morning,Yes,Stray,Normal,Female,Intact,0.21,6/1/2015,Adoption,Yes,1,1,1
A673072,16,Dog,Yes,No,White,2/19/2014,Wednesday,February,Afternoon,No,Public Assist,Normal,Female,Intact,3,2/19/2011,Adoption,Yes,0,1,1
A711277,4,Dog,No,No,Multi,9/4/2015,Friday,September,Afternoon,Yes,Stray,Normal,Female,Intact,0.17,7/4/2015,Adoption,Yes,1,1,1
A758365,12,Dog,No,No,Multi,11/3/2017,Friday,November,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,2.14,9/15/2015,Adoption,Yes,1,1,1
A756117,4,Dog,No,No,Multi,8/14/2017,Monday,August,Afternoon,No,Stray,Normal,Male,Intact,0.15,6/22/2017,Transfer,No,1,1,1
A744703,4,Dog,No,No,Multi,3/6/2017,Monday,March,Morning,Yes,Stray,Normal,Female,Intact,1,3/6/2016,Adoption,Yes,1,1,1
A700581,53,Dog,No,No,White,4/16/2015,Thursday,April,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,3,4/16/2012,Adoption,Yes,0,0,1
A725080,3,Dog,No,No,White,4/25/2016,Monday,April,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,1,4/25/2015,Transfer,No,1,1,1
A672247,4,Dog,No,No,White,2/6/2014,Thursday,February,Afternoon,Yes,Stray,Normal,Male,Intact,1.5,8/6/2012,Adoption,Yes,1,1,1
A712866,9,Dog,No,No,Multi,9/29/2015,Tuesday,September,Morning,Yes,Stray,Normal,Male,Intact,8.01,9/29/2007,Adoption,Yes,1,1,1
A682385,2,Dog,No,Yes,Multi,6/27/2014,Friday,June,Morning,Yes,Owner Surrender,Normal,Male,Intact,0.29,3/12/2014,Adoption,Yes,1,1,1
A764107,5,Dog,No,No,Multi,12/21/2017,Thursday,December,Afternoon,Yes,Stray,Normal,Male,Fixed,6,12/22/2011,Transfer,No,1,1,1
A715128,5,Dog,No,No,Multi,10/31/2015,Saturday,October,Afternoon,No,Stray,Normal,Male,Intact,0.17,8/31/2015,Adoption,Yes,1,1,1
A764980,19,Dog,No,No,Multi,1/10/2018,Wednesday,January,Afternoon,Yes,Stray,Normal,Male,Intact,3,1/10/2015,Adoption,Yes,0,1,1
A679376,59,Dog,Yes,No,Multi,5/20/2014,Tuesday,May,Morning,Yes,Owner Surrender,Normal,Female,Intact,2,5/20/2012,Adoption,Yes,0,0,1
A664869,18,Dog,No,No,Multi,10/10/2013,Thursday,October,Morning,Yes,Stray,Normal,Male,Intact,3,10/10/2010,Euthanasia,No,0,1,1
A734946,10,Dog,No,No,Beige,9/15/2016,Thursday,September,Afternoon,Yes,Stray,Normal,Male,Intact,2,9/15/2014,Adoption,Yes,1,1,1
A737248,5,Dog,No,No,Black,10/24/2016,Monday,October,Afternoon,Yes,Stray,Normal,Male,Fixed,4,10/24/2012,Adoption,Yes,1,1,1
A675651,3,Dog,No,No,Brown,3/30/2014,Sunday,March,Afternoon,Yes,Stray,Normal,Female,Intact,4,3/30/2010,Transfer,No,1,1,1
A702557,5,Dog,No,No,Multi,2/24/2016,Wednesday,February,Afternoon,Yes,Stray,Normal,Male,Intact,1.02,2/15/2015,Adoption,Yes,1,1,1
A765177,6,Dog,No,No,Multi,1/14/2018,Sunday,January,Afternoon,No,Owner Surrender,Normal,Female,Fixed,6.01,1/14/2012,Adoption,Yes,1,1,1
A746846,48,Dog,Yes,Yes,Black,4/10/2017,Monday,April,Morning,Yes,Owner Surrender,Normal,Male,Intact,2,4/10/2015,Adoption,Yes,0,0,1
A683546,10,Dog,No,Yes,Multi,7/11/2014,Friday,July,Afternoon,No,Stray,Nursing,Female,Intact,0,7/11/2014,Transfer,No,1,1,1
A640924,1,Dog,Yes,Yes,Multi,7/15/2014,Tuesday,July,Afternoon,Yes,Owner Surrender,Normal,Male,Intact,2.71,10/31/2011,Euthanasia,No,1,1,1
A671391,4,Dog,No,Yes,Multi,1/23/2014,Thursday,January,Afternoon,Yes,Stray,Normal,Male,Intact,0.17,11/23/2013,Adoption,Yes,1,1,1
A740984,11,Dog,No,No,Beige,12/26/2016,Monday,December,Morning,Yes,Stray,Normal,Female,Intact,0.13,11/10/2016,Adoption,Yes,1,1,1
A749673,5,Dog,No,Yes,Multi,5/18/2017,Thursday,May,Morning,No,Stray,Nursing,Male,Intact,0.02,5/11/2017,Transfer,No,1,1,1
A685089,,Dog,No,Yes,Multi,8/7/2014,Thursday,August,Afternoon,No,Owner Surrender,Normal,Female,Fixed,0.51,2/2/2014,Adoption,Yes,1,1,1
A754492,4,Dog,No,No,Multi,7/21/2017,Friday,July,Afternoon,No,Stray,Normal,Male,Intact,0.17,5/21/2017,Adoption,Yes,1,1,1
A677095,1,Dog,No,No,Beige,4/19/2014,Saturday,April,Afternoon,Yes,Owner Surrender,Sick,Male,Intact,0.58,9/19/2013,Transfer,No,1,1,1
A738903,81,Dog,No,No,Multi,11/23/2016,Wednesday,November,Morning,No,Stray,Normal,Male,Intact,2,11/23/2014,Adoption,Yes,0,0,1
A726235,4,Dog,No,No,Multi,5/8/2016,Sunday,May,Afternoon,Yes,Stray,Normal,Male,Intact,2,5/8/2014,Adoption,Yes,1,1,1
A571326,421,Dog,No,No,Multi,11/5/2015,Thursday,November,Morning,Yes,Stray,Normal,Male,Fixed,7.03,10/25/2008,Adoption,Yes,0,0,0
A750489,3,Dog,No,No,Black,5/27/2017,Saturday,May,Afternoon,Yes,Stray,Normal,Female,Intact,5,5/27/2012,Transfer,No,1,1,1
A719747,5,Dog,No,Yes,Multi,1/26/2016,Tuesday,January,Afternoon,Yes,Stray,Normal,Female,Intact,0.25,10/26/2015,Adoption,Yes,1,1,1
A680025,9,Dog,No,Yes,Multi,5/29/2014,Thursday,May,Morning,Yes,Stray,Nursing,Female,Intact,0.02,5/23/2014,Transfer,No,1,1,1
A693580,10,Dog,No,No,Multi,4/15/2015,Wednesday,April,Afternoon,Yes,Owner Surrender,Normal,Female,Intact,1.35,12/10/2013,Adoption,Yes,1,1,1
A745974,1,Dog,No,No,Brown,3/27/2017,Monday,March,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,0.83,5/27/2016,Transfer,No,1,1,1
A669017,15,Dog,No,No,Beige,12/12/2013,Thursday,December,Afternoon,No,Stray,Normal,Female,Intact,1,12/12/2012,Adoption,Yes,0,1,1
A656444,0,Dog,No,No,Multi,12/31/2013,Tuesday,December,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,1.21,10/14/2012,Adoption,Yes,1,1,1
A740146,3,Dog,No,No,Multi,12/11/2016,Sunday,December,Afternoon,No,Owner Surrender,Normal,Male,Intact,6.01,12/11/2010,Transfer,No,1,1,1
A670682,6,Dog,No,No,Multi,1/12/2014,Sunday,January,Morning,Yes,Stray,Normal,Female,Intact,0.75,4/12/2013,Adoption,Yes,1,1,1
A647363,2,Dog,No,No,Multi,1/26/2015,Monday,January,Morning,Yes,Owner Surrender,Normal,Female,Fixed,2.21,11/9/2012,Transfer,No,1,1,1
A666273,31,Dog,No,Yes,Multi,10/29/2013,Tuesday,October,Afternoon,Yes,Stray,Normal,Female,Fixed,2,10/29/2011,Euthanasia,No,0,0,1
A758815,4,Dog,No,No,Beige,9/22/2017,Friday,September,Morning,No,Stray,Normal,Male,Intact,0.25,6/22/2017,Adoption,Yes,1,1,1
A693068,23,Dog,No,No,Multi,12/1/2014,Monday,December,Afternoon,Yes,Owner Surrender,Normal,Female,Intact,1,12/1/2013,Adoption,Yes,0,1,1
A701453,87,Dog,No,No,Multi,4/30/2015,Thursday,April,Morning,Yes,Stray,Normal,Male,Fixed,1.5,10/29/2013,Adoption,Yes,0,0,1
A690254,1,Dog,No,Yes,Multi,10/16/2014,Thursday,October,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,2.5,4/16/2012,Adoption,Yes,1,1,1
A694714,73,Dog,No,No,Multi,1/2/2015,Friday,January,Afternoon,Yes,Owner Surrender,Injured,Male,Fixed,3,1/2/2012,Adoption,Yes,0,0,1
A701119,15,Dog,No,No,Multi,4/24/2015,Friday,April,Morning,Yes,Owner Surrender,Nursing,Male,Intact,0.01,4/22/2015,Transfer,No,0,1,1
A766777,4,Dog,No,No,Multi,2/16/2018,Friday,February,Afternoon,Yes,Stray,Normal,Female,Intact,1,2/16/2017,Adoption,Yes,1,1,1
A763295,15,Dog,No,Yes,White,12/6/2017,Wednesday,December,Afternoon,Yes,Owner Surrender,Normal,Male,Intact,2,12/6/2015,Adoption,Yes,0,1,1
A702428,13,Dog,No,No,Multi,5/13/2015,Wednesday,May,Afternoon,Yes,Stray,Normal,Male,Intact,3,5/13/2012,Transfer,No,1,1,1
A719250,8,Dog,No,Yes,Multi,1/16/2016,Saturday,January,Morning,No,Stray,Normal,Male,Intact,2,1/16/2014,Adoption,Yes,1,1,1
A727867,58,Dog,No,No,Red,5/26/2016,Thursday,May,Afternoon,Yes,Stray,Normal,Female,Intact,2,5/26/2014,Adoption,Yes,0,0,1
A706842,4,Dog,No,No,Multi,7/4/2015,Saturday,July,Morning,Yes,Stray,Normal,Female,Intact,4,7/4/2011,Adoption,Yes,1,1,1
A742474,6,Dog,No,No,Multi,1/22/2017,Sunday,January,Morning,Yes,Stray,Normal,Male,Intact,0.99,1/26/2016,Adoption,Yes,1,1,1
A742032,5,Dog,No,No,Multi,1/13/2017,Friday,January,Morning,Yes,Stray,Normal,Male,Intact,1,1/13/2016,Adoption,Yes,1,1,1
A669886,4,Dog,No,No,Multi,12/29/2013,Sunday,December,Afternoon,Yes,Stray,Normal,Male,Intact,1,12/29/2012,Adoption,Yes,1,1,1
A670347,0,Dog,Yes,No,Multi,1/6/2014,Monday,January,Afternoon,Yes,Euthanasia Request,Normal,Male,Intact,13.01,1/6/2001,Euthanasia,No,1,1,1
A665148,0,Dog,No,No,Multi,10/14/2013,Monday,October,Morning,No,Stray,Normal,Male,Intact,0.08,9/14/2013,Transfer,No,1,1,1
A699888,1,Dog,No,No,Multi,4/3/2015,Friday,April,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,4,4/3/2011,Transfer,No,1,1,1
A750834,7,Dog,No,Yes,Multi,6/1/2017,Thursday,June,Morning,Yes,Owner Surrender,Normal,Male,Intact,2,6/1/2015,Adoption,Yes,1,1,1
A549562,271,Dog,No,Yes,Multi,1/26/2017,Thursday,January,Morning,No,Owner Surrender,Normal,Male,Fixed,10,1/28/2007,Adoption,Yes,0,0,0
A766556,28,Dog,No,No,Multi,2/11/2018,Sunday,February,Afternoon,No,Stray,Normal,Male,Intact,2,2/11/2016,Adoption,Yes,0,1,1
A693386,13,Dog,No,Yes,Multi,12/7/2014,Sunday,December,Morning,No,Stray,Normal,Male,Intact,2.04,11/22/2012,Transfer,No,1,1,1
A647098,46,Dog,No,No,Multi,12/29/2014,Monday,December,Afternoon,Yes,Owner Surrender,Injured,Male,Fixed,3.91,1/31/2011,Euthanasia,No,0,0,1
A708198,23,Dog,No,Yes,Multi,7/24/2015,Friday,July,Morning,Yes,Public Assist,Normal,Female,Intact,3,7/24/2012,Adoption,Yes,0,1,1
A691157,4,Dog,No,No,Red,10/30/2014,Thursday,October,Afternoon,Yes,Stray,Normal,Female,Intact,1,10/30/2013,Adoption,Yes,1,1,1
A716990,4,Dog,No,No,Multi,11/30/2015,Monday,November,Morning,No,Stray,Normal,Male,Intact,3,11/30/2012,Adoption,Yes,1,1,1
A767422,4,Dog,No,No,Multi,3/2/2018,Friday,March,Morning,Yes,Stray,Normal,Male,Fixed,1.01,2/28/2017,Adoption,Yes,1,1,1
A733610,3,Dog,No,No,Multi,8/24/2016,Wednesday,August,Afternoon,Yes,Stray,Normal,Male,Intact,2,8/24/2014,Adoption,Yes,1,1,1
A640710,,Dog,Yes,No,Multi,8/20/2014,Wednesday,August,Afternoon,Yes,Stray,Normal,Male,Fixed,1.81,10/28/2012,Adoption,Yes,1,1,1
A688081,34,Dog,No,Yes,Multi,9/14/2014,Sunday,September,Morning,Yes,Stray,Normal,Male,Fixed,2,9/14/2012,Adoption,Yes,0,0,1
A701522,5,Dog,No,No,Multi,4/30/2015,Thursday,April,Afternoon,Yes,Stray,Normal,Female,Intact,1,4/30/2014,Adoption,Yes,1,1,1
A716598,2,Dog,No,No,Black,11/21/2015,Saturday,November,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,10.01,11/21/2005,Transfer,No,1,1,1
A710757,29,Dog,No,No,Multi,2/15/2016,Monday,February,Morning,Yes,Owner Surrender,Normal,Male,Fixed,1.14,12/27/2014,Adoption,Yes,0,1,1
A672446,6,Dog,No,No,Red,2/10/2014,Monday,February,Morning,No,Stray,Normal,Female,Fixed,1,2/10/2013,Transfer,No,1,1,1
A695675,9,Dog,No,No,Multi,1/20/2015,Tuesday,January,Morning,Yes,Public Assist,Normal,Male,Intact,0.42,8/20/2014,Adoption,Yes,1,1,1
A760409,6,Dog,No,No,Multi,10/17/2017,Tuesday,October,Afternoon,Yes,Stray,Normal,Female,Intact,0.2,8/6/2017,Adoption,Yes,1,1,1
A668113,3,Dog,No,No,Brown,12/4/2013,Wednesday,December,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,9.02,11/27/2004,Euthanasia,No,1,1,1
A698679,12,Dog,No,No,Multi,3/16/2015,Monday,March,Morning,Yes,Stray,Normal,Female,Fixed,4.42,10/16/2010,Adoption,Yes,1,1,1
A696059,8,Dog,No,No,Multi,1/28/2015,Wednesday,January,Afternoon,Yes,Public Assist,Normal,Male,Intact,3,1/28/2012,Adoption,Yes,1,1,1
A724310,56,Dog,No,No,Black,4/15/2016,Friday,April,Afternoon,Yes,Stray,Normal,Female,Intact,3,4/15/2013,Adoption,Yes,0,0,1
A672745,9,Dog,No,No,Multi,2/16/2014,Sunday,February,Morning,Yes,Stray,Normal,Female,Fixed,2,2/16/2012,Euthanasia,No,1,1,1
A743290,28,Dog,No,No,Black,2/15/2017,Wednesday,February,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,3.02,2/7/2014,Transfer,No,0,1,1
A675582,5,Dog,No,Yes,Multi,3/29/2014,Saturday,March,Afternoon,Yes,Owner Surrender,Normal,Male,Intact,0.09,2/23/2014,Transfer,No,1,1,1
A759059,2,Dog,No,No,Multi,9/26/2017,Tuesday,September,Morning,Yes,Stray,Normal,Male,Intact,0.17,7/26/2017,Transfer,No,1,1,1
A719251,29,Dog,No,Yes,Multi,1/16/2016,Saturday,January,Morning,No,Stray,Sick,Female,Intact,1,1/16/2015,Adoption,Yes,0,1,1
A675845,39,Dog,No,No,Multi,4/1/2014,Tuesday,April,Afternoon,Yes,Stray,Normal,Male,Intact,3,4/1/2011,Adoption,Yes,0,0,1
A670487,38,Dog,Yes,No,Brown,1/9/2014,Thursday,January,Morning,No,Stray,Normal,Female,Fixed,6.01,1/9/2008,Adoption,Yes,0,0,1
A668433,7,Dog,No,Yes,Multi,12/3/2013,Tuesday,December,Afternoon,Yes,Stray,Normal,Male,Intact,2,12/3/2011,Euthanasia,No,1,1,1
A732981,4,Dog,Yes,No,Multi,8/15/2016,Monday,August,Afternoon,Yes,Stray,Normal,Female,Intact,1,8/15/2015,Adoption,Yes,1,1,1
A678844,34,Dog,No,No,Multi,5/13/2014,Tuesday,May,Afternoon,No,Stray,Normal,Male,Intact,0.06,4/21/2014,Adoption,Yes,0,0,1
A722854,19,Dog,No,No,Black,3/28/2016,Monday,March,Morning,Yes,Stray,Normal,Male,Fixed,1.76,6/23/2014,Adoption,Yes,0,1,1
A700701,9,Dog,No,No,Multi,4/18/2015,Saturday,April,Morning,Yes,Stray,Normal,Female,Intact,0.4,11/22/2014,Adoption,Yes,1,1,1
A726809,4,Dog,No,No,Multi,5/14/2016,Saturday,May,Afternoon,Yes,Stray,Normal,Female,Intact,0.45,11/30/2015,Adoption,Yes,1,1,1
A696502,0,Dog,No,No,Multi,2/8/2015,Sunday,February,Morning,Yes,Owner Surrender,Sick,Male,Intact,4,2/8/2011,Euthanasia,No,1,1,1
A725763,1,Dog,No,No,Multi,5/2/2016,Monday,May,Afternoon,Yes,Owner Surrender,Normal,Female,Intact,2,5/2/2014,Transfer,No,1,1,1
A694590,4,Dog,No,No,White,12/31/2014,Wednesday,December,Morning,Yes,Stray,Normal,Female,Intact,0.25,10/1/2014,Adoption,Yes,1,1,1
A711538,4,Dog,No,No,Multi,9/8/2015,Tuesday,September,Afternoon,Yes,Stray,Normal,Male,Fixed,3,9/8/2012,Transfer,No,1,1,1
A741513,39,Dog,No,Yes,Multi,1/3/2017,Tuesday,January,Morning,No,Stray,Injured,Male,Fixed,0.23,10/12/2016,Adoption,Yes,0,0,1
A739753,7,Dog,No,No,Multi,9/14/2017,Thursday,September,Afternoon,Yes,Stray,Normal,Male,Fixed,1.78,12/6/2015,Adoption,Yes,1,1,1
A669992,11,Dog,No,No,Multi,1/29/2014,Wednesday,January,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,1.58,7/1/2012,Adoption,Yes,1,1,1
A672001,5,Dog,No,No,Multi,2/2/2014,Sunday,February,Morning,Yes,Stray,Normal,Male,Intact,0.43,8/30/2013,Transfer,No,1,1,1
A740764,50,Dog,No,No,Black,12/22/2016,Thursday,December,Morning,Yes,Stray,Normal,Male,Intact,1,12/22/2015,Adoption,Yes,0,0,1
A673348,7,Dog,No,Yes,Multi,3/1/2014,Saturday,March,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,0.52,8/22/2013,Adoption,Yes,1,1,1
A697190,5,Dog,No,No,Multi,2/19/2015,Thursday,February,Afternoon,No,Stray,Normal,Male,Intact,2,2/19/2013,Transfer,No,1,1,1
A741718,9,Dog,No,No,Brown,1/7/2017,Saturday,January,Morning,Yes,Stray,Normal,Female,Intact,3,1/7/2014,Adoption,Yes,1,1,1
A706613,40,Dog,No,No,Brown,6/30/2015,Tuesday,June,Afternoon,No,Owner Surrender,Normal,Male,Intact,2,6/30/2013,Transfer,No,0,0,1
A758274,6,Dog,No,No,Multi,9/13/2017,Wednesday,September,Afternoon,Yes,Stray,Normal,Male,Intact,0.46,3/29/2017,Adoption,Yes,1,1,1
A730755,,Dog,No,Yes,Brown,8/8/2016,Monday,August,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,1.08,7/10/2015,Adoption,Yes,1,1,1
A734616,6,Dog,No,No,Beige,9/9/2016,Friday,September,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,4,9/9/2012,Adoption,Yes,1,1,1
A691040,4,Dog,No,No,Multi,10/29/2014,Wednesday,October,Afternoon,Yes,Stray,Normal,Male,Intact,0.25,7/29/2014,Adoption,Yes,1,1,1
A682365,4,Dog,No,No,Multi,6/27/2014,Friday,June,Morning,No,Stray,Normal,Female,Intact,0.83,8/28/2013,Adoption,Yes,1,1,1
A733330,4,Dog,No,No,Multi,8/20/2016,Saturday,August,Afternoon,Yes,Stray,Normal,Female,Intact,3.5,2/20/2013,Transfer,No,1,1,1
